lat,lon,alt,date,device,os,version
37.5295372009,126.90977478,0,2012-03-29 16:32:00,"iPhone2,1",4.2.1,1.0
37.5295372009,126.90977478,0,2012-03-29 16:32:00,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922187805,0,2012-03-29 16:34:08,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-03-29 16:34:08,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922187805,0,2012-03-29 16:34:08,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-03-29 16:34:08,"iPhone4,1",7.0.2,1.1
37.509765625,126.953170776,0,2012-03-29 16:36:16,"iPhone2,1",4.2.1,1.0
37.509765625,126.953170776,0,2012-03-29 16:36:16,"iPhone4,1",7.0.2,1.1
37.5009536743,126.940757751,0,2012-03-29 16:40:32,"iPhone2,1",4.2.1,1.0
37.5009536743,126.940757751,0,2012-03-29 16:40:32,"iPhone4,1",7.0.2,1.1
37.5034980774,126.9454422,0,2012-03-29 22:58:08,"iPhone2,1",4.2.1,1.0
37.5034980774,126.9454422,0,2012-03-29 22:58:08,"iPhone4,1",7.0.2,1.1
37.522644043,126.955734253,0,2012-03-30 00:49:04,"iPhone2,1",4.2.1,1.0
37.522644043,126.955734253,0,2012-03-30 00:49:04,"iPhone4,1",7.0.2,1.1
37.521320343,126.963157654,0,2012-03-30 00:51:12,"iPhone2,1",4.2.1,1.0
37.521320343,126.963157654,0,2012-03-30 00:51:12,"iPhone4,1",7.0.2,1.1
37.5333137512,126.970550537,0,2012-03-30 00:55:28,"iPhone2,1",4.2.1,1.0
37.5333137512,126.970550537,0,2012-03-30 00:55:28,"iPhone4,1",7.0.2,1.1
37.5459785461,126.968475342,0,2012-03-30 01:01:52,"iPhone2,1",4.2.1,1.0
37.5459785461,126.968475342,0,2012-03-30 01:01:52,"iPhone4,1",7.0.2,1.1
37.5571327209,126.976921082,0,2012-03-30 01:06:08,"iPhone2,1",4.2.1,1.0
37.5571327209,126.976921082,0,2012-03-30 01:06:08,"iPhone4,1",7.0.2,1.1
37.5637702942,126.994682312,0,2012-03-30 01:10:24,"iPhone2,1",4.2.1,1.0
37.5637702942,126.994682312,0,2012-03-30 01:10:24,"iPhone4,1",7.0.2,1.1
37.5638542175,126.976966858,0,2012-03-30 04:24:32,"iPhone2,1",4.2.1,1.0
37.5638542175,126.976966858,0,2012-03-30 04:24:32,"iPhone4,1",7.0.2,1.1
37.5579833984,126.959854126,0,2012-03-30 04:33:04,"iPhone2,1",4.2.1,1.0
37.5579833984,126.959854126,0,2012-03-30 04:33:04,"iPhone4,1",7.0.2,1.1
37.5548324585,126.943847656,0,2012-03-30 04:35:12,"iPhone2,1",4.2.1,1.0
37.5548324585,126.943847656,0,2012-03-30 04:35:12,"iPhone4,1",7.0.2,1.1
37.5548324585,126.924484253,0,2012-03-30 04:41:36,"iPhone2,1",4.2.1,1.0
37.5548324585,126.924484253,0,2012-03-30 04:41:36,"iPhone4,1",7.0.2,1.1
37.5504417419,126.917984009,0,2012-03-30 07:36:32,"iPhone2,1",4.2.1,1.0
37.5504417419,126.917984009,0,2012-03-30 07:36:32,"iPhone4,1",7.0.2,1.1
37.5411109924,126.901870728,0,2012-03-30 14:11:12,"iPhone2,1",4.2.1,1.0
37.5411109924,126.901870728,0,2012-03-30 14:11:12,"iPhone4,1",7.0.2,1.1
37.5295372009,126.90977478,0,2012-03-30 14:13:20,"iPhone2,1",4.2.1,1.0
37.5295372009,126.90977478,0,2012-03-30 14:13:20,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922142029,0,2012-03-30 14:15:28,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922142029,0,2012-03-30 14:15:28,"iPhone4,1",7.0.2,1.1
37.5189056396,126.942131042,0,2012-03-30 14:17:36,"iPhone2,1",4.2.1,1.0
37.5189056396,126.942131042,0,2012-03-30 14:17:36,"iPhone4,1",7.0.2,1.1
37.5007514954,126.948692322,0,2012-03-30 14:24:00,"iPhone2,1",4.2.1,1.0
37.5007514954,126.948692322,0,2012-03-30 14:24:00,"iPhone4,1",7.0.2,1.1
37.5036773682,126.94316864,0,2012-04-01 01:46:40,"iPhone2,1",4.2.1,1.0
37.5036773682,126.94316864,0,2012-04-01 01:46:40,"iPhone4,1",7.0.2,1.1
37.51329422,126.955474854,0,2012-04-01 02:29:20,"iPhone2,1",4.2.1,1.0
37.51329422,126.955474854,0,2012-04-01 02:29:20,"iPhone4,1",7.0.2,1.1
37.5277366638,126.950469971,0,2012-04-01 02:33:36,"iPhone2,1",4.2.1,1.0
37.5390930176,126.93661499,0,2012-04-01 02:33:36,"iPhone2,1",4.2.1,1.0
37.5277366638,126.950469971,0,2012-04-01 02:33:36,"iPhone4,1",7.0.2,1.1
37.5390930176,126.93661499,0,2012-04-01 02:33:36,"iPhone4,1",7.0.2,1.1
37.5457725525,126.922897339,0,2012-04-01 02:35:44,"iPhone2,1",4.2.1,1.0
37.5457725525,126.922897339,0,2012-04-01 02:35:44,"iPhone4,1",7.0.2,1.1
37.5818710327,126.88028717,0,2012-04-01 07:04:32,"iPhone2,1",4.2.1,1.0
37.5818710327,126.88028717,0,2012-04-01 07:04:32,"iPhone4,1",7.0.2,1.1
37.5518035889,126.914039612,0,2012-04-01 09:44:32,"iPhone2,1",4.2.1,1.0
37.5518035889,126.914039612,0,2012-04-01 09:44:32,"iPhone4,1",7.0.2,1.1
37.5032615662,126.942733765,0,2012-04-01 15:00:16,"iPhone2,1",4.2.1,1.0
37.5032615662,126.942733765,0,2012-04-01 15:00:16,"iPhone4,1",7.0.2,1.1
37.5231246948,126.955375671,0,2012-04-02 00:29:52,"iPhone2,1",4.2.1,1.0
37.5231246948,126.955375671,0,2012-04-02 00:29:52,"iPhone4,1",7.0.2,1.1
37.5212936401,126.963722229,0,2012-04-02 00:32:00,"iPhone2,1",4.2.1,1.0
37.5212936401,126.963722229,0,2012-04-02 00:32:00,"iPhone4,1",7.0.2,1.1
37.5368041992,126.976493835,0,2012-04-02 00:36:16,"iPhone2,1",4.2.1,1.0
37.5368041992,126.976493835,0,2012-04-02 00:36:16,"iPhone4,1",7.0.2,1.1
37.5634880066,126.982673645,0,2012-04-02 00:44:48,"iPhone2,1",4.2.1,1.0
37.5634880066,126.982673645,0,2012-04-02 00:44:48,"iPhone4,1",7.0.2,1.1
37.5548324585,126.994888306,0,2012-04-02 01:01:52,"iPhone2,1",4.2.1,1.0
37.5548324585,126.994888306,0,2012-04-02 01:01:52,"iPhone4,1",7.0.2,1.1
37.5728607178,127.003868103,0,2012-04-02 04:30:56,"iPhone2,1",4.2.1,1.0
37.5728607178,127.003868103,0,2012-04-02 04:30:56,"iPhone4,1",7.0.2,1.1
37.5728607178,127.021453857,0,2012-04-02 04:54:24,"iPhone2,1",4.2.1,1.0
37.5728607178,127.021453857,0,2012-04-02 04:54:24,"iPhone4,1",7.0.2,1.1
37.5810623169,127.039772034,0,2012-04-02 05:00:48,"iPhone2,1",4.2.1,1.0
37.5810623169,127.039772034,0,2012-04-02 05:00:48,"iPhone4,1",7.0.2,1.1
37.587852478,127.054527283,0,2012-04-02 05:07:12,"iPhone2,1",4.2.1,1.0
37.587852478,127.054527283,0,2012-04-02 05:07:12,"iPhone4,1",7.0.2,1.1
37.5998725891,127.062194824,0,2012-04-02 05:11:28,"iPhone2,1",4.2.1,1.0
37.5998725891,127.062194824,0,2012-04-02 05:11:28,"iPhone4,1",7.0.2,1.1
37.6089706421,127.050628662,0,2012-04-02 08:14:56,"iPhone2,1",4.2.1,1.0
37.6089706421,127.050628662,0,2012-04-02 08:14:56,"iPhone4,1",7.0.2,1.1
37.5999984741,127.036277771,0,2012-04-02 08:17:04,"iPhone2,1",4.2.1,1.0
37.5999984741,127.036277771,0,2012-04-02 08:17:04,"iPhone4,1",7.0.2,1.1
37.6007804871,127.017295837,0,2012-04-02 08:21:20,"iPhone2,1",4.2.1,1.0
37.6007804871,127.017295837,0,2012-04-02 08:21:20,"iPhone4,1",7.0.2,1.1
37.6088943481,127.003990173,0,2012-04-02 08:23:28,"iPhone2,1",4.2.1,1.0
37.6089134216,126.987922668,0,2012-04-02 08:23:28,"iPhone2,1",4.2.1,1.0
37.6088943481,127.003990173,0,2012-04-02 08:23:28,"iPhone4,1",7.0.2,1.1
37.6089134216,126.987922668,0,2012-04-02 08:23:28,"iPhone4,1",7.0.2,1.1
37.5646705627,127.015655518,0,2012-04-02 08:25:36,"iPhone2,1",4.2.1,1.0
37.5646705627,127.015655518,0,2012-04-02 08:25:36,"iPhone4,1",7.0.2,1.1
37.599899292,126.958816528,0,2012-04-02 08:34:08,"iPhone2,1",4.2.1,1.0
37.5909767151,126.941268921,0,2012-04-02 08:34:08,"iPhone2,1",4.2.1,1.0
37.599899292,126.958816528,0,2012-04-02 08:34:08,"iPhone4,1",7.0.2,1.1
37.5909767151,126.941268921,0,2012-04-02 08:34:08,"iPhone4,1",7.0.2,1.1
37.5778999329,126.931930542,0,2012-04-02 08:36:16,"iPhone2,1",4.2.1,1.0
37.5778999329,126.931930542,0,2012-04-02 08:36:16,"iPhone4,1",7.0.2,1.1
37.5682563782,126.915412903,0,2012-04-02 08:38:24,"iPhone2,1",4.2.1,1.0
37.5682563782,126.915412903,0,2012-04-02 08:38:24,"iPhone4,1",7.0.2,1.1
37.5613822937,126.895553589,0,2012-04-02 08:40:32,"iPhone2,1",4.2.1,1.0
37.5613822937,126.895553589,0,2012-04-02 08:40:32,"iPhone4,1",7.0.2,1.1
37.5483589172,126.904891968,0,2012-04-02 08:42:40,"iPhone2,1",4.2.1,1.0
37.5483589172,126.904891968,0,2012-04-02 08:42:40,"iPhone4,1",7.0.2,1.1
37.5461540222,126.922065735,0,2012-04-02 08:57:36,"iPhone2,1",4.2.1,1.0
37.5461540222,126.922065735,0,2012-04-02 08:57:36,"iPhone4,1",7.0.2,1.1
37.5416717529,126.902297974,0,2012-04-02 14:32:32,"iPhone2,1",4.2.1,1.0
37.5416717529,126.902297974,0,2012-04-02 14:32:32,"iPhone4,1",7.0.2,1.1
37.5297660828,126.90978241,0,2012-04-02 14:34:40,"iPhone2,1",4.2.1,1.0
37.5297660828,126.90978241,0,2012-04-02 14:34:40,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922187805,0,2012-04-02 14:36:48,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922187805,0,2012-04-02 14:36:48,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-04-02 14:38:56,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-04-02 14:38:56,"iPhone4,1",7.0.2,1.1
37.509765625,126.953170776,0,2012-04-02 14:41:04,"iPhone2,1",4.2.1,1.0
37.509765625,126.953170776,0,2012-04-02 14:41:04,"iPhone4,1",7.0.2,1.1
37.5008964539,126.940567017,0,2012-04-02 14:45:20,"iPhone2,1",4.2.1,1.0
37.5008964539,126.940567017,0,2012-04-02 14:45:20,"iPhone4,1",7.0.2,1.1
37.5458183289,126.923019409,0,2012-04-03 02:59:12,"iPhone2,1",4.2.1,1.0
37.5458183289,126.923019409,0,2012-04-03 02:59:12,"iPhone4,1",7.0.2,1.1
37.5416793823,126.902191162,0,2012-04-03 13:54:08,"iPhone2,1",4.2.1,1.0
37.5416793823,126.902191162,0,2012-04-03 13:54:08,"iPhone4,1",7.0.2,1.1
37.5299339294,126.909423828,0,2012-04-03 13:56:16,"iPhone2,1",4.2.1,1.0
37.5299339294,126.909423828,0,2012-04-03 13:56:16,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922286987,0,2012-04-03 13:58:24,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922286987,0,2012-04-03 13:58:24,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-04-03 14:00:32,"iPhone2,1",4.2.1,1.0
37.509765625,126.953170776,0,2012-04-03 14:00:32,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-04-03 14:00:32,"iPhone4,1",7.0.2,1.1
37.509765625,126.953170776,0,2012-04-03 14:00:32,"iPhone4,1",7.0.2,1.1
37.5007133484,126.941070557,0,2012-04-03 14:06:56,"iPhone2,1",4.2.1,1.0
37.5007133484,126.941070557,0,2012-04-03 14:06:56,"iPhone4,1",7.0.2,1.1
37.5034828186,126.945236206,0,2012-04-03 17:27:28,"iPhone2,1",4.2.1,1.0
37.5034828186,126.945236206,0,2012-04-03 17:27:28,"iPhone4,1",7.0.2,1.1
37.5023994446,126.946487427,0,2012-04-03 17:48:48,"iPhone2,1",4.2.1,1.0
37.5023994446,126.946487427,0,2012-04-03 17:48:48,"iPhone4,1",7.0.2,1.1
37.5035324097,126.94304657,0,2012-04-03 17:48:48,"iPhone4,1",7.0.2,1.1
37.5032997131,126.942611694,0,2012-04-05 02:42:08,"iPhone2,1",4.2.1,1.0
37.5032997131,126.942611694,0,2012-04-05 02:42:08,"iPhone4,1",7.0.2,1.1
37.5461807251,126.922439575,0,2012-04-05 10:08:00,"iPhone2,1",4.2.1,1.0
37.5504112244,126.917953491,0,2012-04-05 10:08:00,"iPhone2,1",4.2.1,1.0
37.5461807251,126.922439575,0,2012-04-05 10:08:00,"iPhone4,1",7.0.2,1.1
37.5504112244,126.917953491,0,2012-04-05 10:08:00,"iPhone4,1",7.0.2,1.1
37.5504188538,126.917915344,0,2012-04-05 10:10:08,"iPhone2,1",4.2.1,1.0
37.5504188538,126.917915344,0,2012-04-05 10:10:08,"iPhone4,1",7.0.2,1.1
37.5518798828,126.919532776,0,2012-04-05 10:14:24,"iPhone2,1",4.2.1,1.0
37.5518798828,126.919532776,0,2012-04-05 10:14:24,"iPhone4,1",7.0.2,1.1
37.5416717529,126.902297974,0,2012-04-05 14:58:08,"iPhone2,1",4.2.1,1.0
37.5416717529,126.902297974,0,2012-04-05 14:58:08,"iPhone4,1",7.0.2,1.1
37.5297279358,126.909454346,0,2012-04-05 15:00:16,"iPhone2,1",4.2.1,1.0
37.5297279358,126.909454346,0,2012-04-05 15:00:16,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922142029,0,2012-04-05 15:02:24,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-04-05 15:02:24,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922142029,0,2012-04-05 15:02:24,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-04-05 15:02:24,"iPhone4,1",7.0.2,1.1
37.509765625,126.953170776,0,2012-04-05 15:04:32,"iPhone2,1",4.2.1,1.0
37.509765625,126.953170776,0,2012-04-05 15:04:32,"iPhone4,1",7.0.2,1.1
37.5007514954,126.940986633,0,2012-04-05 15:08:48,"iPhone2,1",4.2.1,1.0
37.5007514954,126.940986633,0,2012-04-05 15:08:48,"iPhone4,1",7.0.2,1.1
37.509765625,126.953262329,0,2012-04-06 03:39:44,"iPhone2,1",4.2.1,1.0
37.509765625,126.953262329,0,2012-04-06 03:39:44,"iPhone4,1",7.0.2,1.1
37.5231246948,126.955375671,0,2012-04-06 03:41:52,"iPhone2,1",4.2.1,1.0
37.5231246948,126.955375671,0,2012-04-06 03:41:52,"iPhone4,1",7.0.2,1.1
37.5312805176,126.969581604,0,2012-04-06 03:46:08,"iPhone2,1",4.2.1,1.0
37.5312805176,126.969581604,0,2012-04-06 03:46:08,"iPhone4,1",7.0.2,1.1
37.5458183289,126.972602844,0,2012-04-06 03:48:16,"iPhone2,1",4.2.1,1.0
37.5458183289,126.972602844,0,2012-04-06 03:48:16,"iPhone4,1",7.0.2,1.1
37.5605812073,126.977783203,0,2012-04-06 03:54:40,"iPhone2,1",4.2.1,1.0
37.5605812073,126.977783203,0,2012-04-06 03:54:40,"iPhone4,1",7.0.2,1.1
37.5637702942,126.994682312,0,2012-04-06 03:56:48,"iPhone2,1",4.2.1,1.0
37.5637702942,126.994682312,0,2012-04-06 03:56:48,"iPhone4,1",7.0.2,1.1
37.5638542175,126.976966858,0,2012-04-06 08:40:32,"iPhone2,1",4.2.1,1.0
37.5638542175,126.976966858,0,2012-04-06 08:40:32,"iPhone4,1",7.0.2,1.1
37.5587768555,126.960121155,0,2012-04-06 08:49:04,"iPhone2,1",4.2.1,1.0
37.5587768555,126.960121155,0,2012-04-06 08:49:04,"iPhone4,1",7.0.2,1.1
37.5548324585,126.943847656,0,2012-04-06 08:57:36,"iPhone2,1",4.2.1,1.0
37.5548324585,126.943847656,0,2012-04-06 08:57:36,"iPhone4,1",7.0.2,1.1
37.5548324585,126.924491882,0,2012-04-06 09:08:16,"iPhone2,1",4.2.1,1.0
37.5548324585,126.924491882,0,2012-04-06 09:08:16,"iPhone4,1",7.0.2,1.1
37.5455322266,126.907875061,0,2012-04-06 16:10:40,"iPhone2,1",4.2.1,1.0
37.5455322266,126.907875061,0,2012-04-06 16:10:40,"iPhone4,1",7.0.2,1.1
37.5368041992,126.896072388,0,2012-04-06 16:12:48,"iPhone2,1",4.2.1,1.0
37.5368041992,126.896072388,0,2012-04-06 16:12:48,"iPhone4,1",7.0.2,1.1
37.5297279358,126.909454346,0,2012-04-06 16:14:56,"iPhone2,1",4.2.1,1.0
37.5297279358,126.909454346,0,2012-04-06 16:14:56,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-04-06 16:17:04,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-04-06 16:17:04,"iPhone4,1",7.0.2,1.1
37.5135040283,126.955574036,0,2012-04-06 16:19:12,"iPhone2,1",4.2.1,1.0
37.5007514954,126.949951172,0,2012-04-06 16:19:12,"iPhone2,1",4.2.1,1.0
37.5135040283,126.955574036,0,2012-04-06 16:19:12,"iPhone4,1",7.0.2,1.1
37.5007514954,126.949951172,0,2012-04-06 16:19:12,"iPhone4,1",7.0.2,1.1
37.5135040283,126.955574036,0,2012-04-07 09:14:40,"iPhone2,1",4.2.1,1.0
37.5135040283,126.955574036,0,2012-04-07 09:14:40,"iPhone4,1",7.0.2,1.1
37.5277366638,126.950469971,0,2012-04-07 09:18:56,"iPhone2,1",4.2.1,1.0
37.5277366638,126.950469971,0,2012-04-07 09:18:56,"iPhone4,1",7.0.2,1.1
37.5384559631,126.938064575,0,2012-04-07 09:23:12,"iPhone2,1",4.2.1,1.0
37.5384559631,126.938064575,0,2012-04-07 09:23:12,"iPhone4,1",7.0.2,1.1
37.5462036133,126.923019409,0,2012-04-07 09:25:20,"iPhone2,1",4.2.1,1.0
37.5462036133,126.923019409,0,2012-04-07 09:25:20,"iPhone4,1",7.0.2,1.1
37.5416793823,126.902191162,0,2012-04-07 14:43:12,"iPhone2,1",4.2.1,1.0
37.5298843384,126.909706116,0,2012-04-07 14:43:12,"iPhone2,1",4.2.1,1.0
37.5416793823,126.902191162,0,2012-04-07 14:43:12,"iPhone4,1",7.0.2,1.1
